csv
Day,Meal,Food Item,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Vegetable Upma,250,1 cup,8,40,2,6,15,40,2,300,5
Monday,Snack,Fruit Salad (Apple, Banana, Guava),150,1 cup,0,39,20,1,5,30,300,4
Monday,Lunch,Palak Paneer with Roti,400,1 cup,20,40,5,20,25,200,500,5
Monday,Snack,Roasted Chickpeas,100,1/2 cup,2,15,2,6,10,5,200,5
Monday,Dinner,Vegetable Khichdi,350,1 cup,10,55,5,12,20,15,400,6
Total Calories for Monday, , , , , , , , , , , , , 1250
Tuesday,Breakfast,Poha with Peanuts,300,1 cup,10,50,5,8,15,20,200,4
Tuesday,Snack,Carrot Sticks with Hummus,100,1 cup,5,15,2,3,5,2,150,3
Tuesday,Lunch,Chickpea Salad,350,1 cup,10,50,5,15,20,5,300,8
Tuesday,Snack,Yogurt with Honey,150,1 cup,5,30,25,8,10,200,300,0
Tuesday,Dinner,Stuffed Paratha with Yogurt,400,1 piece,15,60,5,10,15,25,400,5
Total Calories for Tuesday, , , , , , , , , , , , , 1400
Wednesday,Breakfast,Idli with Sambar,250,2 pieces,5,40,5,8,10,30,200,4
Wednesday,Snack,Pomegranate Seeds,100,1/2 cup,0,25,20,2,5,1,150,3
Wednesday,Lunch,Vegetable Biryani,400,1 cup,10,60,5,10,15,15,400,5
Wednesday,Snack,Peanut Chikki,150,1 piece,8,20,10,5,5,1,100,2
Wednesday,Dinner,Paneer Tikka with Salad,350,1 cup,20,30,5,20,25,200,300,4
Total Calories for Wednesday, , , , , , , , , , , , , 1350
Thursday,Breakfast,Masala Dosa with Coconut Chutney,300,2 pieces,15,40,5,8,15,20,200,4
Thursday,Snack,Apple Slices with Peanut Butter,200,1 medium apple,8,30,15,5,5,1,150,4
Thursday,Lunch,Vegetable Curry with Rice,400,1 cup,15,60,5,10,15,20,400,5
Thursday,Snack,Roasted Makhana,100,1 cup,2,15,2,6,10,1,200,5
Thursday,Dinner,Lentil Soup with Roti,350,1 cup,10,50,5,15,20,10,300,6
Total Calories for Thursday, , , , , , , , , , , , , 1350
Friday,Breakfast,Chia Seed Pudding,250,1 cup,10,30,5,8,10,20,200,5
Friday,Snack,Vegetable Sticks with Dip,100,1 cup,5,15,2,3,5,1,150,3
Friday,Lunch,Paneer Bhurji with Roti,400,1 cup,20,40,5,20,25,200,500,5
Friday,Snack,Dates and Nuts,150,1/4 cup,5,30,25,2,5,1,100,3
Friday,Dinner,Vegetable Stir Fry with Quinoa,350,1 cup,10,50,5,12,20,15,400,6
Total Calories for Friday, , , , , , , , , , , , , 1350
Saturday,Breakfast,Vegetable Paratha with Yogurt,300,1 piece,15,40,5,8,15,20,200,4
Saturday,Snack,Fruit Smoothie,150,1 cup,2,30,20,3,5,1,150,3
Saturday,Lunch,Khichdi with Mixed Vegetables,400,1 cup,10,60,5,12,20,15,400,6
Saturday,Snack,Trail Mix,100,1/4 cup,5,15,5,3,5,1,100,2
Saturday,Dinner,Stuffed Bell Peppers,350,1 piece,15,50,5,10,15,20,300,5
Total Calories for Saturday, , , , , , , , , , , , , 1400
Sunday,Breakfast,Oats with Fruits,300,1 cup,5,50,10,8,10,20,200,5
Sunday,Snack,Vegetable Samosa,150,1 piece,8,20,5,3,5,1,150,3
Sunday,Lunch,Vegetable Pulao,400,1 cup,10,60,5,10,15,20,400,5
Sunday,Snack,Fresh Coconut Water,100,1 cup,0,25,5,2,5,1,150,3
Sunday,Dinner,Paneer and Spinach Curry with Roti,350,1 cup,20,40,5,20,25,200,500,5
Total Calories for Sunday, , , , , , , , , , , , , 1400
