csv
Day,Meal,Food Item,Serving Size,Calories,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Calcium (%DV),Iron (%DV),Potassium (mg),Fiber (g)
Monday,Breakfast,Yogurt with Banana,200g,150,3,30,12,6,15,2,300,1
Monday,Snack,Apple,1 medium,95,0,25,19,0,1,1,195,4
Monday,Lunch,Grilled Chicken Salad with Spinach,250g,350,10,20,5,40,5,10,600,4
Monday,Snack,Dried Dates,50g,140,0,37,32,1,2,3,200,3
Monday,Dinner,Stuffed Bell Peppers with Quinoa,300g,400,15,60,10,15,10,15,800,8
Total Calories for Monday,,,"",1135,,,,,,,,,
Tuesday,Breakfast,Omelette with Tomatoes and Spinach,2 eggs,200,15,2,2,1,14,5,10,300,0
Tuesday,Snack,Cucumber Slices,100g,16,0,4,2,1,1,1,150,1
Tuesday,Lunch,Lentil Soup with Carrots,250g,180,2,30,5,12,4,20,400,8
Tuesday,Snack,Pomegranate Seeds,100g,83,1,19,14,1,2,2,250,4
Tuesday,Dinner,Grilled Eggplant with Olive Oil,200g,250,20,15,10,5,5,4,400,7
Total Calories for Tuesday,,,"",729,,,,,,,,,
Wednesday,Breakfast,Smoothie with Yogurt and Oranges,250ml,200,3,30,20,6,15,2,300,2
Wednesday,Snack,Carrot Sticks,100g,41,0,10,5,1,1,1,200,3
Wednesday,Lunch,Chickpea Salad with Cucumbers and Tomatoes,250g,300,5,45,8,15,6,15,500,8
Wednesday,Snack,Dates,50g,140,0,37,32,1,2,3,200,3
Wednesday,Dinner,Rice with Grilled Chicken,300g,450,10,60,5,30,2,10,600,2
Total Calories for Wednesday,,,"",1131,,,,,,,,,
Thursday,Breakfast,Oatmeal with Apples,200g,150,3,27,10,5,2,2,200,4
Thursday,Snack,Banana,1 medium,105,0,27,14,1,1,1,422,3
Thursday,Lunch,Stuffed Zucchini with Quinoa,300g,400,15,60,10,15,10,15,800,8
Thursday,Snack,Yogurt with Pomegranate,200g,150,3,30,12,6,15,2,300,1
Thursday,Dinner,Grilled Fish with Spinach,250g,350,15,20,5,30,5,10,600,4
Total Calories for Thursday,,,"",1155,,,,,,,,,
Friday,Breakfast,Smoothie with Spinach and Banana,250ml,200,3,30,20,6,15,2,300,2
Friday,Snack,Cucumber,1 medium,16,0,4,2,1,1,1,150,1
Friday,Lunch,Fava Bean Salad with Tomatoes,250g,250,5,40,5,10,4,15,400,8
Friday,Snack,Dried Dates,50g,140,0,37,32,1,2,3,200,3
Friday,Dinner,Chicken Stir-fry with Vegetables,300g,400,10,60,10,30,2,10,600,4
Total Calories for Friday,,,"",1106,,,,,,,,,
Saturday,Breakfast,Yogurt with Honey and Nuts,200g,250,10,30,20,8,10,2,300,3
Saturday,Snack,Apple,1 medium,95,0,25,19,0,1,1,195,4
Saturday,Lunch,Quinoa Salad with Chickpeas,250g,300,5,45,8,15,6,15,500,8
Saturday,Snack,Pomegranate,1 medium,83,1,19,14,1,2,2,250,4
Saturday,Dinner,Grilled Chicken with Potatoes,300g,450,10,60,5,30,2,10,600,2
Total Calories for Saturday,,,"",1178,,,,,,,,,
Sunday,Breakfast,Omelette with Spinach and Tomatoes,2 eggs,200,15,2,2,1,14,5,10,300,0
Sunday,Snack,Cucumber Slices,100g,16,0,4,2,1,1,1,150,1
Sunday,Lunch,Lentil Soup with Carrots,250g,180,2,30,5,12,4,20,400,8
Sunday,Snack,Dried Dates,50g,140,0,37,32,1,2,3,200,3
Sunday,Dinner,Stuffed Bell Peppers with Quinoa,300g,400,15,60,10,15,10,15,800,8
Total Calories for Sunday,,,"",1136,,,,,,,,,
