
Day,Meal,Food Item
Monday,Breakfast,Oatmeal with berries and a sprinkle of cinnamon
Monday,Lunch,Grilled chicken salad with mixed greens and vinaigrette
Monday,Dinner,Baked salmon with steamed broccoli and quinoa
Monday,Snack,Greek yogurt with a few almonds
Tuesday,Breakfast,Smoothie with spinach, banana, and unsweetened almond milk
Tuesday,Lunch,Quinoa bowl with black beans, corn, and avocado
Tuesday,Dinner,Stir-fried tofu with mixed vegetables and brown rice
Tuesday,Snack,Carrot sticks with hummus
Wednesday,Breakfast,Whole grain toast with avocado and poached egg
Wednesday,Lunch,Lentil soup with a side of whole grain bread
Wednesday,Dinner,Grilled shrimp with asparagus and sweet potato
Wednesday,Snack,Apple slices with peanut butter
Thursday,Breakfast,Chia seed pudding with coconut milk and berries
Thursday,Lunch,Turkey wrap with lettuce, tomato, and whole grain tortilla
Thursday,Dinner,Stuffed bell peppers with ground turkey and brown rice
Thursday,Snack,Cucumber slices with tzatziki
Friday,Breakfast,Greek yogurt parfait with granola and mixed fruit
Friday,Lunch,Spinach salad with chickpeas, feta cheese, and balsamic dressing
Friday,Dinner,Baked chicken thighs with roasted Brussels sprouts and quinoa
Friday,Snack,Handful of walnuts
Saturday,Breakfast,Scrambled eggs with spinach and whole grain toast
Saturday,Lunch,Vegetable stir-fry with tofu and brown rice
Saturday,Dinner,Grilled fish tacos with cabbage slaw
Saturday,Snack,Orange slices
Sunday,Breakfast,Pancakes made with whole grain flour and topped with fresh fruit
Sunday,Lunch,Quinoa salad with cucumbers, tomatoes, and parsley
Sunday,Dinner,Roasted vegetable medley with lentils
Sunday,Snack,Dark chocolate square (in moderation)
