csv
Day,Meal,Food,Calories,Protein (g),Carbs (g),Fat (g)
Monday,Breakfast,Spinach and Paneer Paratha with Yogurt,350,15,45,15
Monday,Lunch,Chickpea Salad with Carrots and Beets,400,20,50,10
Monday,Dinner,Stir-fried Broccoli and Cauliflower with Brown Rice,450,15,70,10
Tuesday,Breakfast,Oatmeal with Banana and Almonds,300,10,50,10
Tuesday,Lunch,Lentil Soup with Spinach,350,25,45,5
Tuesday,Dinner,Stuffed Sweet Potatoes with Yogurt,400,15,60,10
Wednesday,Breakfast,Guava Smoothie with Yogurt,250,10,40,5
Wednesday,Lunch,Vegetable Khichdi with Peas,450,15,75,10
Wednesday,Dinner,Paneer Tikka with Mixed Salad,500,30,40,20
Thursday,Breakfast,Chickpea Flour Pancakes with Spinach,350,20,40,10
Thursday,Lunch,Quinoa Salad with Pomegranate and Nuts,400,15,50,15
Thursday,Dinner,Vegetable Curry with Brown Rice,450,15,70,10
Friday,Breakfast,Smoothie Bowl with Papaya and Coconut,300,5,50,10
Friday,Lunch,Vegetable Stir-fry with Tofu,400,20,50,15
Friday,Dinner,Stuffed Bell Peppers with Lentils,450,25,60,10
Saturday,Breakfast,Overnight Oats with Apples and Walnuts,350,10,50,15
Saturday,Lunch,Spinach and Chickpea Stew,400,20,55,10
Saturday,Dinner,Vegetable Biryani with Raita,500,15,80,15
Sunday,Breakfast,Idli with Coconut Chutney,300,10,50,5
Sunday,Lunch,Vegetable Sambar with Brown Rice,450,15,70,10
Sunday,Dinner,Paneer and Vegetable Skewers,500,30,40,20
