
Day,Meal,Food Item
Monday,Breakfast,Oatmeal with milk and honey, banana
Monday,Lunch,Lentil soup with spinach, whole wheat bread
Monday,Dinner,Grilled chicken with brown rice and mixed vegetables
Tuesday,Breakfast,Yogurt with nuts and seasonal fruit
Tuesday,Lunch,Chickpea salad with tomatoes, cucumber, and lemon dressing
Tuesday,Dinner,Beef stew with carrots and potatoes
Wednesday,Breakfast,Whole grain bread with cheese and a boiled egg
Wednesday,Lunch,Vegetable pilaf with raisins and almonds
Wednesday,Dinner,Stir-fried tofu with broccoli and bell peppers
Thursday,Breakfast,Smoothie with spinach, banana, and yogurt
Thursday,Lunch,Quinoa salad with black beans and corn
Thursday,Dinner,Roasted fish with sweet potatoes and green beans
Friday,Breakfast,Pancakes made with whole wheat flour and topped with honey
Friday,Lunch,Stuffed bell peppers with rice and ground meat
Friday,Dinner,Lentil curry with basmati rice
Saturday,Breakfast,Chia pudding with milk and seasonal fruits
Saturday,Lunch,Vegetable soup with barley
Saturday,Dinner,Grilled lamb with couscous and roasted vegetables
Sunday,Breakfast,Boiled eggs with avocado and whole grain toast
Sunday,Lunch,Spinach and feta cheese pie
Sunday,Dinner,Chicken kebabs with salad and pita bread
