csv
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Oatmeal with Apples and Almonds,350,1 cup,15,45,10,10,20,150,2.5,300,5
Monday,Lunch,Grilled Chicken Salad with Spinach and Olive Oil,600,1 plate,30,20,5,50,40,200,3,600,8
Monday,Dinner,Baked Salmon with Sweet Potatoes and Broccoli,700,1 plate,25,50,8,40,30,250,2.5,800,7
Monday,Snack,Pear,100,1 medium,0,25,15,1,2,20,0.2,150,5
Total Calories for Monday, , ,1850, , , , , , , , , , 

Tuesday,Breakfast,Smoothie with Banana, Spinach, and Almond Milk,300,1 glass,10,40,20,5,10,150,1,300,4
Tuesday,Lunch,Lentil Soup with Carrots and Garlic,500,1 bowl,10,80,5,25,30,100,4,500,10
Tuesday,Dinner,Stuffed Bell Peppers with Quinoa and Chickpeas,650,2 peppers,15,90,10,25,25,150,3,700,12
Tuesday,Snack,Kiwi,60,1 medium,0,15,10,1,2,30,0.3,200,3
Total Calories for Tuesday, , ,1510, , , , , , , , , , 

Wednesday,Breakfast,Yogurt with Figs and Honey,250,1 cup,5,35,20,10,15,200,0.5,250,2
Wednesday,Lunch,Grilled Sardines with Garlic and Potatoes,600,1 plate,25,50,5,40,30,150,3,600,5
Wednesday,Dinner,Vegetable Stir-fry with Mushrooms and Kale,500,1 plate,15,60,8,20,20,100,2,500,8
Wednesday,Snack,Orange,80,1 medium,0,20,12,1,2,40,0.1,150,4
Total Calories for Wednesday, , ,1430, , , , , , , , , , 

Thursday,Breakfast,Chia Pudding with Grapes,300,1 cup,10,40,15,10,15,150,1,300,5
Thursday,Lunch,Quinoa Salad with Roasted Pumpkin and Spinach,550,1 plate,15,70,10,20,25,200,3,600,8
Thursday,Dinner,Chicken Stir-fry with Broccoli and Bell Peppers,650,1 plate,20,50,5,40,30,250,2,700,6
Thursday,Snack,Pomegranate,100,1 medium,0,25,15,1,2,30,0.3,150,5
Total Calories for Thursday, , ,1600, , , , , , , , , , 

Friday,Breakfast,Smoothie Bowl with Banana and Almonds,350,1 bowl,15,45,20,10,20,150,1,300,5
Friday,Lunch,Chickpea Salad with Onions and Olive Oil,500,1 plate,20,60,5,25,30,100,4,500,10
Friday,Dinner,Baked Cod with Sweet Potatoes and Spinach,700,1 plate,25,50,8,40,30,250,2.5,800,7
Friday,Snack,Chestnuts,200,1 cup,10,40,5,5,10,30,1,200,6
Total Calories for Friday, , ,1850, , , , , , , , , , 

Saturday,Breakfast,Oatmeal with Pears and Honey,350,1 cup,10,60,15,10,20,150,1,300,5
Saturday,Lunch,Vegetable Soup with Lentils,500,1 bowl,10,80,5,25,30,100,4,500,10
Saturday,Dinner,Grilled Chicken with Roasted Vegetables,700,1 plate,25,50,8,40,30,250,2.5,800,7
Saturday,Snack,Figs,100,3 medium,0,25,15,1,2,30,0.2,150,5
Total Calories for Saturday, , ,1650, , , , , , , , , , 

Sunday,Breakfast,Yogurt with Grapes and Almonds,300,1 cup,10,40,20,10,15,200,0.5,250,2
Sunday,Lunch,Stuffed Zucchini with Quinoa and Chickpeas,600,1 plate,15,70,10,25,25,150,3,600,8
Sunday,Dinner,Roasted Fish with Potatoes and Kale,700,1 plate,25,50,8,40,30,250,2.5,800,7
Sunday,Snack,Apple,80,1 medium,0,20,12,1,2,40,0.1,150,4
Total Calories for Sunday, , ,1680, , , , , , , , , , 
