
Day,Meal,Food,Calories,Protein (g),Carbs (g),Fat (g)
Monday,Breakfast,Oatmeal with banana and almonds,350,10,60,10
Monday,Lunch,Grilled chicken salad with olive oil,500,40,20,30
Monday,Dinner,Baked cod with roasted vegetables,450,35,40,15
Tuesday,Breakfast,Smoothie with spinach, apple, and yogurt,300,15,50,5
Tuesday,Lunch,Quinoa with chickpeas and vegetables,450,20,70,10
Tuesday,Dinner,Turkey stir-fry with broccoli and brown rice,500,40,60,15
Wednesday,Breakfast,Whole grain toast with avocado and poached egg,400,15,30,25
Wednesday,Lunch,Grilled vegetable wrap with hummus,450,12,60,15
Wednesday,Dinner,Roasted chicken with sweet potatoes and green beans,550,45,50,20
Thursday,Breakfast,Yogurt with mixed berries and honey,300,10,50,5
Thursday,Lunch,Seafood paella with seasonal vegetables,600,35,70,15
Thursday,Dinner,Lentil soup with whole grain bread,400,25,60,10
Friday,Breakfast,Scrambled eggs with spinach and tomatoes,350,20,30,15
Friday,Lunch,Chicken and vegetable stir-fry with quinoa,500,40,60,10
Friday,Dinner,Grilled salmon with asparagus and brown rice,550,45,50,20
Saturday,Breakfast,Chia pudding with almond milk and fruit,300,10,40,10
Saturday,Lunch,Stuffed bell peppers with turkey and brown rice,500,35,60,15
Saturday,Dinner,Vegetable and white bean stew,400,20,70,10
Sunday,Breakfast,Pancakes with fresh fruit and honey,400,15,60,10
Sunday,Lunch,Grilled shrimp salad with olive oil,500,30,40,20
Sunday,Dinner,Roast chicken with seasonal vegetables,550,45,50,20
